general_assembly,bill,fiscal_year,fund_group,fund,line_item,title,amount
123,hb282,2001,Federal Special Revenue Fund Group,378,200660,Math/Science Technology Investments,12271272
123,hb282,2000,Federal Special Revenue Fund Group,3C5,200661,Federal Dependent Care Programs,17996709
123,hb282,2001,Federal Special Revenue Fund Group,3C5,200661,Federal Dependent Care Programs,17996709
123,hb282,2000,Federal Special Revenue Fund Group,3D1,200664,Drug Free Schools,20026500
123,hb282,2001,Federal Special Revenue Fund Group,3D1,200664,Drug Free Schools,20587242
123,hb282,2000,Federal Special Revenue Fund Group,3D2,200667,Honors Scholarship Program Am. Sub. H. B. No. 282,1976400
123,hb282,2001,Federal Special Revenue Fund Group,3D2,200667,Honors Scholarship Program Am. Sub. H. B. No. 282,2371680
123,hb282,2000,Federal Special Revenue Fund Group,3E2,200668,AIDS Education Project,620774
123,hb282,2001,Federal Special Revenue Fund Group,3E2,200668,AIDS Education Project,620774
123,hb282,2000,Federal Special Revenue Fund Group,3S7,200673,Child Care School Age,5135000
123,hb282,2001,Federal Special Revenue Fund Group,3S7,200673,Child Care School Age,5278000
123,hb282,2000,Federal Special Revenue Fund Group,3M1,200678,ESEA Chapter Two,61901429
123,hb282,2001,Federal Special Revenue Fund Group,3M1,200678,ESEA Chapter Two,16591501
123,hb282,2000,Federal Special Revenue Fund Group,3M2,200680,Ind W/Disab Education Act,143000000
123,hb282,2001,Federal Special Revenue Fund Group,3M2,200680,Ind W/Disab Education Act,162000000
123,hb282,2000,Federal Special Revenue Fund Group,3P9,200686,SRRC/FRC Evaluation Project,51350
123,hb282,2001,Federal Special Revenue Fund Group,3P9,200686,SRRC/FRC Evaluation Project,52788
123,hb282,2000,State Special Revenue Fund Group,4M4,200637,Emergency Service Telecommunication Training,762548
123,hb282,2001,State Special Revenue Fund Group,4M4,200637,Emergency Service Telecommunication Training,783899
123,hb282,2000,State Special Revenue Fund Group,4R7,200695,Indirect Cost Recovery,2868561
123,hb282,2001,State Special Revenue Fund Group,4R7,200695,Indirect Cost Recovery,2948881
123,hb282,2000,State Special Revenue Fund Group,4V7,200633,Interagency Vocational Support,645359
123,hb282,2001,State Special Revenue Fund Group,4V7,200633,Interagency Vocational Support,663429
123,hb282,2000,State Special Revenue Fund Group,454,200610,Guidance and Testing,503912
123,hb282,2001,State Special Revenue Fund Group,454,200610,Guidance and Testing,516484
123,hb282,2000,State Special Revenue Fund Group,455,200608,Commodity Foods,8000000
123,hb282,2001,State Special Revenue Fund Group,455,200608,Commodity Foods,8000000
123,hb282,2000,State Special Revenue Fund Group,5B1,200651,Child Nutrition Services,2500000
123,hb282,2001,State Special Revenue Fund Group,5B1,200651,Child Nutrition Services,2500000
123,hb282,2000,State Special Revenue Fund Group,598,200659,Auxiliary Services Mobile Units,1292714
123,hb282,2001,State Special Revenue Fund Group,598,200659,Auxiliary Services Mobile Units,1328910
123,hb282,2000,State Special Revenue Fund Group,620,200615,Educational Grants,1500000
123,hb282,2001,State Special Revenue Fund Group,620,200615,Educational Grants,1500000
123,hb282,2000,Lottery Profits Education Fund Group,017,200612,Base Cost Funding,656247000
123,hb282,2001,Lottery Profits Education Fund Group,017,200612,Base Cost Funding,660467000
123,hb282,2000,Lottery Profits Education Fund Group,017,200682,Lease Rental Payment Reimbursement,29753000
123,hb282,2001,Lottery Profits Education Fund Group,017,200682,Lease Rental Payment Reimbursement,29733000
